Id;Filename;Samplename;X;Y;Z;Block;Meas/Block;StartCurrent;EndCurrent;Cy;P2h;P2b;P3h;P3b;E0S;E0S;Cy DuringAcq;P2h DuringAcq;P2b DuringAcq;P3h DuringAcq;P3b DuringAcq;E0S DuringAcq;12C PhdMax;12C R/L;12C PhdZero;40Ca PhdMax;40Ca R/L;40Ca PhdZero;12C Counts;12C Rate;13C Counts;13C Rate;12C2 Counts;12C2 Rate;12C Counts;12C Rate;12C Counts;12C Rate;13C Counts;13C Rate;40Ca Counts;40Ca Rate;13C/12C Ratio;13C/12C Err Mean;13C/12C Poisson;12C/12C2 Ratio;12C/12C2 Err Mean;12C/12C2 Poisson;13C/12C Ratio;13C/12C Err Mean;13C/12C Poisson;12C/40Ca Ratio;12C/40Ca Err Mean;12C/40Ca Poisson;12C/40Ca Ratio;12C/40Ca Err Mean;12C/40Ca Poisson;
1;2018-01-19-GLENDON_2_1;W12, Indium (W12_Indium_1_1) ;13060;14116;2915;50;80;27930;27930;456;1877;1871;805;806;2838;2837;;;;;;;217.920;6.460;2050.270;214.950;10.940;0.000;7.56646E+007;9.90374E+004;8.13179E+005;1.06437E+003;1.65109E+005;2.16111E+002;3.89600E+003;5.09948E+000;2.53972E+005;3.32424E+002;1.50960E+004;1.97592E+001;2.03027E+007;2.65742E+004;1.07472E-002;1.160E-001;1.110E-001;2.35965E-002;1.990E+000;1.620E+000;5.94397E-002;9.480E-001;8.380E-001;1.25093E-002;2.580E-001;2.000E-001;3.72682E+000;5.920E-002;2.500E-002;
2;2018-01-19-GLENDON_2_2;W12, Indium (W12_Indium_1_2) ;13060;14076;2915;50;80;27940;27930;456;1877;1871;805;806;2834;2835;;;;;;;225.030;27.560;2050.270;219.500;6.010;0.000;8.01080E+007;1.04853E+005;8.60954E+005;1.12690E+003;1.34824E+005;1.76471E+002;3.39000E+003;4.43717E+000;2.40621E+005;3.14949E+002;1.83660E+004;2.40393E+001;2.23072E+007;2.91979E+004;1.07474E-002;1.140E-001;1.080E-001;2.51438E-002;2.210E+000;1.740E+000;7.63277E-002;8.120E-001;7.660E-001;1.07867E-002;3.340E-001;2.050E-001;3.59112E+000;9.990E-002;2.390E-002;
3;2018-01-19-GLENDON_2_3;W12, Indium (W12_Indium_1_3) ;13060;14036;2915;50;80;27940;27930;456;1877;1871;805;806;2834;2834;;;;;;;218.480;104.650;2050.270;;;;8.12176E+007;1.06306E+005;8.70214E+005;1.13902E+003;1.29784E+005;1.69874E+002;4.02100E+003;5.26309E+000;2.39855E+005;3.13946E+002;2.28860E+004;2.99555E+001;2.30642E+007;3.01887E+004;1.07146E-002;1.120E-001;1.080E-001;3.09822E-002;2.220E+000;1.600E+000;9.54163E-002;8.090E-001;6.920E-001;1.03994E-002;3.090E-001;2.050E-001;3.52136E+000;1.160E-001;2.360E-002;
4;2018-01-19-GLENDON_2_4;W12, Indium (W12_Indium_1_4) ;13060;13996;2915;50;80;27940;27960;456;1877;1871;805;806;2833;2834;;;;;;;219.690;4.730;2050.270;217.340;10.580;0.000;8.31410E+007;1.08823E+005;8.92536E+005;1.16824E+003;1.79267E+005;2.34643E+002;5.08300E+003;6.65314E+000;3.18811E+005;4.17292E+002;1.90430E+004;2.49254E+001;2.60779E+007;3.41334E+004;1.07352E-002;1.080E-001;1.060E-001;2.83543E-002;1.640E+000;1.420E+000;5.97313E-002;8.200E-001;7.460E-001;1.22253E-002;4.840E-001;1.780E-001;3.18818E+000;2.940E-001;2.240E-002;
5;2018-01-19-GLENDON_2_5;W12, Indium (W12_Indium_1_5) ;13060;13956;2915;50;80;27960;27950;456;1877;1871;805;806;2835;2836;;;;;;;215.660;6.850;2050.270;219.240;10.830;0.000;7.36126E+007;9.63516E+004;7.99330E+005;1.04624E+003;3.39641E+005;4.44556E+002;7.13001E+003;9.33247E+000;3.69390E+005;4.83495E+002;6.09100E+003;7.97251E+000;1.44415E+007;1.89025E+004;1.08586E-002;1.170E-001;1.120E-001;2.09928E-002;1.630E+000;1.200E+000;1.64894E-002;1.370E+000;1.290E+000;2.55784E-002;2.880E-001;1.670E-001;5.09730E+000;9.430E-002;2.880E-002;
6;2018-01-19-GLENDON_2_6;W12, Indium (W12_Indium_1_6) ;13060;13916;2915;50;80;27960;;456;1877;1871;805;806;2837;2839;;;;;;;211.790;80.140;2050.270;216.650;4.360;0.000;8.70999E+007;1.14005E+005;9.46693E+005;1.23913E+003;8.58039E+005;1.12309E+003;1.78731E+004;2.33941E+001;4.31533E+005;5.64834E+002;6.50401E+003;8.51310E+000;1.49797E+007;1.96069E+004;1.08691E-002;1.130E-001;1.030E-001;2.08302E-002;1.800E+000;7.560E-001;1.50719E-002;1.500E+000;1.250E+000;2.88078E-002;8.900E-001;1.540E-001;5.81452E+000;5.690E-001;2.800E-002;
7;2018-01-19-GLENDON_2_7;W12, Indium (W12_Indium_1_7) ;13060;13876;2915;50;80;27980;27850;456;1877;1871;805;806;2836;2837;;;;;;;207.100;19.660;2050.270;213.030;9.550;0.000;6.85178E+007;8.96830E+004;7.57603E+005;9.91627E+002;2.10232E+005;2.75173E+002;1.58680E+004;2.07696E+001;1.70762E+005;2.23510E+002;3.91600E+003;5.12565E+000;1.22342E+007;1.60134E+004;1.10570E-002;1.190E-001;1.160E-001;7.54788E-002;2.220E+000;8.230E-001;2.29325E-002;1.700E+000;1.620E+000;1.39578E-002;2.700E-001;2.440E-001;5.60053E+000;2.430E-001;3.100E-002;
8;2018-01-19-GLENDON_2_8;W12, Indium (W12_Indium_1_8) ;13060;13836;2915;50;80;27840;27750;456;1877;1871;805;806;2834;2834;;;;;;;213.650;12.400;2050.270;215.030;5.920;0.000;8.13500E+007;1.06479E+005;8.99331E+005;1.17713E+003;1.13126E+005;1.48071E+002;2.59900E+003;3.40183E+000;1.39434E+005;1.82505E+002;2.26400E+003;2.96335E+000;2.06898E+007;2.70809E+004;1.10551E-002;1.100E-001;1.060E-001;2.29745E-002;2.840E+000;1.980E+000;1.62371E-002;2.240E+000;2.120E+000;6.73928E-003;3.300E-001;2.690E-001;3.93189E+000;1.170E-001;2.460E-002;
9;2018-01-19-GLENDON_2_9;W12, Indium (W12_Indium_1_9) ;13040;13836;2915;50;80;;27730;456;1877;1871;805;806;2834;2835;;;;;;;216.180;1.950;2050.270;216.690;4.290;0.000;8.73909E+007;1.14386E+005;9.65158E+005;1.26330E+003;1.87912E+005;2.45958E+002;5.10601E+003;6.68326E+000;1.44462E+005;1.89086E+002;2.68300E+003;3.51178E+000;2.40319E+007;3.14554E+004;1.10442E-002;1.040E-001;1.020E-001;2.71724E-002;2.370E+000;1.420E+000;1.85723E-002;2.040E+000;1.950E+000;6.01128E-003;3.000E-001;2.640E-001;3.63646E+000;1.160E-001;2.300E-002;
10;2018-01-19-GLENDON_2_10;W12, Indium (W12_Indium_1_10) ;13040;13876;2915;50;80;27720;;456;1877;1871;805;806;2835;2835;;;;;;;1.000;1.000;1.000;1.000;1.000;1.000;0.00000E+000;0.00000E+000;0.00000E+000;0.00000E+000;0.00000E+000;0.00000E+000;0.00000E+000;0.00000E+000;0.00000E+000;0.00000E+000;0.00000E+000;0.00000E+000;0.00000E+000;0.00000E+000;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mean;1.0870E-002;;Mean;3.0614E-002;;Mean;4.2246E-002;;Mean;1.4113E-002;;Mean;4.2342E+000;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;StdEv;1.4669E-004;;StdEv;1.7160E-002;;StdEv;3.0826E-002;;StdEv;7.8932E-003;;StdEv;9.8939E-001;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.3495E+001;;;5.6053E+002;;;7.2966E+002;;;5.5929E+002;;;2.3366E+002;;;
